timestamp,system_state,temp_setpoint,humidity_setpoint,co2_setpoint,temp_probe1,temp_probe2,temp_probe3,temp_dht,temp_co2,humidity,co2_ppm,peltier_mode,peltier_duty,peltier_enabled,humidifier,internal_fan,vent_angle,vent_fan_speed,active_light_schedule,neopixel_color,neopixel_intensity,white_intensity,uv_intensity,photo_mode
2025-10-11T15:08:19.128324,active,10.0,60.0,1000.0,22.88,20.62,26.94,24.2,0.0,68.7,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:24.714860,active,10.0,60.0,1000.0,22.88,20.62,27.0,24.2,0.0,68.4,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:30.283876,active,10.0,60.0,1000.0,22.88,20.5,27.12,24.1,0.0,68.1,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:35.851055,active,10.0,60.0,1000.0,22.88,20.5,27.19,24.1,0.0,67.8,402,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:41.483514,active,10.0,60.0,1000.0,22.88,20.44,27.25,24.1,0.0,67.7,400,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:47.083015,active,10.0,60.0,1000.0,22.88,20.38,27.31,24.0,0.0,67.4,402,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:52.717949,active,10.0,60.0,1000.0,22.88,20.31,27.31,24.0,0.0,67.2,402,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:58.283338,active,10.0,60.0,1000.0,22.94,20.25,27.38,24.0,0.0,67.0,402,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:03.915806,active,10.0,60.0,1000.0,22.88,20.19,27.44,24.0,0.0,66.7,400,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:09.482881,active,10.0,60.0,1000.0,22.88,20.12,27.62,24.0,0.0,66.5,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:15.115735,active,10.0,60.0,1000.0,22.88,20.12,27.62,23.9,0.0,66.2,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:20.683485,active,10.0,60.0,1000.0,22.88,20.06,27.69,23.9,0.0,66.0,400,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:26.315186,active,10.0,60.0,1000.0,22.88,19.94,27.88,23.9,0.0,65.8,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:31.919329,active,10.0,60.0,1000.0,22.88,19.94,27.88,23.9,0.0,65.6,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:37.517998,active,10.0,60.0,1000.0,22.94,19.88,28.0,23.8,0.0,65.3,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:43.089955,active,10.0,60.0,1000.0,22.88,19.88,28.06,23.8,0.0,65.1,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:48.746946,active,10.0,60.0,1000.0,22.88,19.81,28.06,23.8,0.0,64.9,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:54.315760,active,10.0,60.0,1000.0,22.88,19.75,28.12,23.8,0.0,64.7,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:09:59.947473,active,10.0,60.0,1000.0,22.88,19.75,28.19,23.8,0.0,64.5,402,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:05.515198,active,10.0,60.0,1000.0,22.88,19.62,28.25,23.7,0.0,64.2,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:11.153992,active,10.0,60.0,1000.0,22.88,19.56,28.19,23.7,0.0,64.1,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:16.715273,active,10.0,60.0,1000.0,22.88,19.56,28.19,23.7,0.0,63.9,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:22.347390,active,10.0,60.0,1000.0,22.94,19.5,28.25,23.7,0.0,63.6,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:27.919418,active,10.0,60.0,1000.0,22.88,19.5,28.31,23.6,0.0,63.5,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:33.547120,active,10.0,60.0,1000.0,22.88,19.44,28.38,23.6,0.0,63.3,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:39.115060,active,10.0,60.0,1000.0,22.88,19.38,28.44,23.6,0.0,63.1,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:44.747785,active,10.0,60.0,1000.0,22.88,19.31,28.44,23.6,0.0,62.9,402,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:50.315971,active,10.0,60.0,1000.0,22.88,19.31,28.5,23.5,0.0,62.8,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:10:55.946941,active,10.0,60.0,1000.0,22.94,19.25,28.62,23.5,0.0,62.6,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:11:01.514873,active,10.0,60.0,1000.0,22.94,19.25,28.69,23.5,0.0,62.4,400,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:11:07.150082,active,10.0,60.0,1000.0,22.94,19.19,28.75,23.5,0.0,62.2,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:11:12.714959,active,10.0,60.0,1000.0,22.94,19.12,28.75,23.5,0.0,62.0,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:11:18.347697,active,10.0,60.0,1000.0,22.94,19.12,28.62,23.4,0.0,61.9,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:11:23.915010,active,10.0,60.0,1000.0,22.94,19.12,28.69,23.4,0.0,61.8,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:11:29.550726,active,10.0,60.0,1000.0,22.94,19.06,28.69,23.4,0.0,61.7,401,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:11:35.114916,active,10.0,60.0,1000.0,22.94,19.0,28.81,23.3,0.0,61.6,402,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:11:40.747075,active,10.0,60.0,1000.0,22.94,18.94,28.81,23.3,0.0,61.4,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
